0	0.2	Yeah
0.21	0.81	like
0.83	1.36	and
2.04	2.22	do
2.22	2.61	you
2.62	2.72	know
2.72	2.87	do
2.87	2.97	you
2.97	3.18	know
3.18	3.63	like
3.64	4.09	so
4.09	4.36	okay
4.36	4.56	so
4.56	4.73	you
4.73	5.01	probably
5.01	5.087	do
5.087	5.21	not
5.21	5.46	use
5.46	5.63	like
5.63	5.98	busses
5.98	6.21	then.
7.04	7.17	I
7.17	7.27	was
7.27	7.45	gonna
7.45	7.72	ask
7.72	7.84	if
7.84	7.95	you
7.95	8.16	had
8.16	8.33	like
8.33	8.4	a
8.4	8.63	good
8.63	9.05	app
9.44	9.62	to
9.62	9.95	like
11.04	11.28	to
11.28	11.5	find
11.5	11.6	out
11.6	11.77	like
11.77	11.98	bus
11.98	12.23	times
12.23	12.33	and
12.33	12.66	stuff
13.43	13.497	I
13.497	13.63	have
13.63	13.78	been
13.78	14.15	searching
14.15	14.4	for
14.4	14.55	for
14.55	14.93	like
14.97	15.0	a
15.01	15.2	year
15.2	15.28	or
15.28	15.53	so.
16.24	16.47	I
16.47	16.73	mean
16.73	16.805	I
16.805	16.93	am
16.93	17.16	also
17.16	17.59	not
17.6	17.87	like
17.87	17.932	I
17.932	17.98	am
17.98	18.12	not
18.12	18.37	making
18.37	18.43	an
18.43	18.72	effort
18.72	18.81	to
18.81	19.03	search
19.03	19.16	for
19.16	19.28	it
19.28	19.56	but.
20.04	21.14	Yeah.
23.74	24.24	Yeah
29.44	29.67	It
29.67	29.99	seems
29.99	30.08	to
30.08	30.71	be
30.85	31.04	the
31.04	31.48	case
31.48	31.96	like
31.97	32.46	people
32.46	32.57	who
32.57	32.71	are
32.71	32.94	from
32.94	33.16	here
33.16	33.4	just
33.4	33.54	have
33.54	34.0	cars
34.01	34.18	you
34.18	34.48	know?
34.5	35.04	Yeah.
37.84	38.25	Yeah.
38.84	39.08	Yeah.
39.08	39.15	I
39.15	39.34	do
39.34	39.47	want
39.47	39.52	a
39.52	39.77	car
39.77	40.1	though.
41.24	41.73	I,
41.95	42.21	my
42.21	42.96	friend
43.14	43.4	my
43.4	43.65	friend
43.65	43.79	just
43.79	43.92	got
43.92	43.97	a
43.97	44.29	car
44.29	44.43	so
44.43	44.497	it
44.497	44.56	is
44.56	44.75	really
44.75	45.15	nice
45.52	45.68	but
45.68	45.95	like
46.34	46.51	I
46.51	46.72	think
46.72	46.84	he
46.84	47.22	works
47.22	47.37	with
47.37	47.74	cars
47.74	48.31	because
48.32	48.82	he
48.82	49.01	like
49.02	49.26	bought
49.26	49.36	the
49.36	49.58	car
49.58	49.69	for
49.69	49.84	like
49.84	50.2	800
50.2	50.75	dollars.
51.34	51.84	Um.
51.85	51.97	And
51.97	52.06	then
52.06	52.2	like
52.2	52.41	fixed
52.41	52.51	it
52.51	52.75	up
53.44	53.57	so
53.57	53.62	I
53.62	53.78	feel
53.78	53.92	like
53.92	54.04	if
54.04	54.08	I
54.08	54.2	want
54.2	54.24	a
54.24	54.48	car
54.48	54.57	I
54.57	54.68	should
54.68	54.85	just
54.85	55.11	find
55.11	55.39	something
55.39	55.61	really
55.61	55.9	cheap
55.9	56.01	and
56.01	56.18	just
56.18	56.32	kind
56.32	56.38	of
56.38	56.49	to
56.49	56.76	fix
56.76	56.95	it.
57.94	58.56	Yeah.
59.94	60.56	Yeah.
62.64	63.56	Yeah#.
